# reactions: 3
Time	S	I	R	N	Fired Reaction
6.0678112923489875	37.0	20.0	43.0	100.0	 2
6.075828996630698	37.0	19.0	44.0	100.0	 2
6.086574696455082	36.0	20.0	44.0	100.0	 1
6.130358871987092	35.0	21.0	44.0	100.0	 1
6.132626777178302	36.0	21.0	43.0	100.0	 3
6.139937740243619	37.0	21.0	42.0	100.0	 3
6.15898571870118	38.0	21.0	41.0	100.0	 3
6.159761825763903	37.0	22.0	41.0	100.0	 1
6.162574842853882	37.0	21.0	42.0	100.0	 2
6.177460877738481	36.0	22.0	42.0	100.0	 1
6.177987997517754	37.0	22.0	41.0	100.0	 3
6.180482113877039	36.0	23.0	41.0	100.0	 1
6.2083234583795015	35.0	24.0	41.0	100.0	 1
6.222140067314563	36.0	24.0	40.0	100.0	 3
6.224557682683695	37.0	24.0	39.0	100.0	 3
